run_id,step,birth_index,birth_type,death_index,death_type,event,mutants_before,mutants_after,N,true_r,true_i0
exp002_run01,0,20,B,19,B,20B:19B,13,13,22,1.3,13
exp002_run01,1,10,A,3,A,10A:3A,13,13,22,1.3,13
exp002_run01,2,7,A,16,B,7A:16B,13,14,22,1.3,13
exp002_run01,3,11,A,12,A,11A:12A,14,14,22,1.3,13
exp002_run01,4,5,A,19,B,5A:19B,14,15,22,1.3,13
exp002_run01,5,9,A,10,A,9A:10A,15,15,22,1.3,13
exp002_run01,6,21,B,6,A,21B:6A,15,14,22,1.3,13
exp002_run01,7,19,A,0,A,19A:0A,14,14,22,1.3,13
exp002_run01,8,7,A,20,B,7A:20B,14,15,22,1.3,13
exp002_run01,9,17,B,1,A,17B:1A,15,14,22,1.3,13
